#SampleID	Analyzing_Institute	Collecting_Institute
CN18Sc37_12_Rep_Stdy5_AO	MBARI	MBARI
CN18Sc37_12_Rep_Stdy10_AO	MBARI	MBARI
CN18Sc37_12_Rep_Stdy14_AO	MBARI	MBARI
CN18Sc37_12_Rep_Stdy18_AO	MBARI	MBARI
CN18Sc37_12_Rep_Stdy22_AO	MBARI	MBARI
NOAA11_AO	MBARI	NOAA
NOAA14_AO	MBARI	NOAA
NOAA20_AO	MBARI	NOAA
AWIMOCKBLOOM7_AO	MBARI	BLOOMMOCK
AWIMOCKBLOOM8_AO	MBARI	BLOOMMOCK
AWIMOCKBLOOM16_AO	MBARI	BLOOMMOCK
AWIMOCKBLOOM18_AO	MBARI	BLOOMMOCK
AWIMOCKBLOOM28_AO	MBARI	BLOOMMOCK
NOC2_AO	MBARI	NOC
NOC9_AO	MBARI	NOC
NOC12_AO	MBARI	NOC
NOC31_AO	MBARI	NOC
NOC51_AO	MBARI	NOC
UDalhousie2_AO	MBARI	UDalhousie
UDalhousie8_AO	MBARI	UDalhousie
UDalhousie14_AO	MBARI	UDalhousie
UDalhousie20_AO	MBARI	UDalhousie
UDalhousie26_AO	MBARI	UDalhousie
AWIMOCKEVEN1_AO	MBARI	EVENMOCK
AWIMOCKEVEN2_AO	MBARI	EVENMOCK
AWIMOCKEVEN3_AO	MBARI	EVENMOCK
AWIMOCKEVEN4_AO	MBARI	EVENMOCK
AWIMOCKEVEN5_AO	MBARI	EVENMOCK
